% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
25175	1	7	2	0	0	28	1095	0	1	1	0
25255	1	3	1	0	0	22	693	0	1	1	0
25255	1	4	5	0	0	28	1095	0	1	1	0
25495	1	5	8	0	0	26	1836	0	1	1	0
25575	1	6	6	0	0	28	2196	0	1	1	0
25655	1	2	4	0	0	28	1095	0	1	1	0
25655	1	7	2	0	0	24	807	0	1	1	0
25735	1	3	1	0	0	28	1095	0	1	1	0
25735	1	4	5	0	0	28	1095	0	1	1	0
25975	1	5	8	0	0	28	2196	0	1	1	0
26055	1	6	6	0	0	28	2196	0	1	1	0
26135	1	2	4	0	0	24	807	0	1	1	0
26135	1	7	2	0	0	28	1095	0	1	1	0
26215	1	3	1	0	0	26	903	0	1	1	0
26215	1	4	5	0	0	28	1095	0	1	1	0
26455	1	5	8	0	0	28	2196	0	1	1	0
26535	1	6	6	0	0	28	2196	0	1	1	0
26615	1	2	4	0	0	22	693	0	1	1	0
26615	1	7	2	0	0	22	693	0	1	1	0
26695	1	3	1	0	0	28	1095	0	1	1	0
26695	1	4	5	0	0	28	1095	0	1	0	0
26702	1	4	5	0	0	28	1095	1	0	1	0
26935	1	5	8	0	0	20	1191	0	1	1	0
27015	1	6	6	0	0	28	2196	0	1	1	0
27095	1	2	4	0	0	28	1095	0	1	1	0
27095	1	7	2	0	0	28	1095	0	1	1	0
27175	1	4	5	0	0	28	2196	0	1	1	0
27415	1	5	8	0	0	28	2196	0	1	1	0
27495	1	6	6	0	0	20	1191	0	1	1	0
27530	1	3	1	0	0	22	1383	0	1	1	0
27575	1	2	4	0	0	24	1620	0	1	1	0
27595	1	7	2	0	0	28	2196	0	1	1	0
27655	1	4	5	0	0	24	1620	0	1	1	0
27890	1	3	1	0	0	24	1620	0	1	1	0
27895	1	5	8	0	0	20	1191	0	1	1	0
27975	1	6	6	0	0	22	1383	0	1	1	0
28055	1	2	4	0	0	28	1095	0	1	1	0
28055	1	7	2	0	0	28	1095	0	1	1	0
28135	1	4	5	0	0	24	1620	0	1	1	0
28170	1	3	1	0	0	24	1620	0	1	1	0
28382	1	5	8	0	0	22	1383	0	1	1	0
28455	1	6	6	0	0	26	1836	0	1	1	0
28535	1	2	4	0	0	28	1095	0	1	0	0
28535	1	7	2	0	0	28	1095	0	1	1	0
28542	1	2	4	0	0	28	1095	1	0	1	0
28615	1	4	5	0	0	18	967	0	1	1	0
28650	1	3	1	0	0	26	1836	0	1	1	0
28855	1	5	8	0	0	22	1383	0	1	1	0
28935	1	6	6	0	0	28	2196	0	1	1	0
29015	1	2	4	0	0	28	1095	0	1	1	0
29015	1	7	2	0	0	28	1095	0	1	1	0
29095	1	3	1	0	0	22	693	0	1	1	0
