% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0862143	2	3	2	3.96177e-10	858939	0
0.0862143	2	4	1	1.54357e-10	323294	0
0.0862143	2	5	3	6.56279e-11	143600	0
0.0872143	1	1	2	1.57341e-10	342379	0
0.0872143	1	2	1	3.43614e-10	748505	0
0.0872143	2	3	2	4.06552e-10	881927	0
0.0872143	2	4	1	1.48045e-10	309257	0
0.0872143	2	5	3	6.65509e-11	145628	0
0.0882143	1	1	2	1.55847e-10	339087	0
0.0882143	1	2	1	3.38445e-10	737624	0
0.0882143	2	3	2	4.17099e-10	905287	0
0.0882143	2	4	1	1.41793e-10	295364	0
0.0882143	2	5	3	6.74638e-11	147634	0
0.0892143	1	1	2	1.54161e-10	335370	0
0.0892143	1	2	1	3.33068e-10	726280	0
0.0892143	2	3	2	4.27457e-10	928220	0
0.0892143	2	4	1	1.35473e-10	281352	0
0.0892143	2	5	3	6.84413e-11	149782	0
0.0902143	1	1	2	1.52447e-10	331588	0
0.0902143	1	2	1	3.27578e-10	714672	0
0.0902143	2	3	2	4.37978e-10	951502	0
0.0902143	2	4	1	1.2933e-10	267734	0
0.0902143	2	5	3	6.94006e-11	151890	0
0.0912143	1	1	2	1.50597e-10	327502	0
0.0912143	1	2	1	3.21998e-10	702849	0
0.0912143	2	3	2	4.48299e-10	974332	0
0.0912143	2	4	1	1.23155e-10	254082	0
0.0912143	2	5	3	7.04201e-11	154130	0
0.0922143	1	1	2	1.48673e-10	323250	0
0.0922143	1	2	1	3.16253e-10	690651	0
0.0922143	2	3	2	4.58706e-10	997341	0
0.0922143	2	4	1	1.17265e-10	241050	0
0.0922143	2	5	3	7.14327e-11	156354	0
0.0932143	1	1	2	1.46667e-10	318812	0
0.0932143	1	2	1	3.10525e-10	678469	0
0.0932143	2	3	2	4.68937e-10	1.01995e+06	0
0.0932143	2	4	1	1.11338e-10	227983	0
0.0932143	2	5	3	7.24922e-11	158680	0
0.0942143	1	1	2	1.44548e-10	314119	0
0.0942143	1	2	1	3.04592e-10	665820	0
0.0942143	2	3	2	4.7916e-10	1.04253e+06	0
0.0942143	2	4	1	1.05737e-10	215627	0
0.0942143	2	5	3	7.356e-11	161024	0
0.0952143	1	1	2	1.424e-10	309356	0
0.0952143	1	2	1	2.98777e-10	653401	0
0.0952143	2	3	2	4.89241e-10	1.06478e+06	0
0.0952143	2	4	1	1.00227e-10	203508	0
0.0952143	2	5	3	7.46577e-11	163434	0
0.0962143	1	1	2	1.40103e-10	304260	0
0.0962143	1	2	1	2.92726e-10	640446	0
0.0962143	2	3	2	4.99205e-10	1.08676e+06	0
0.0962143	2	4	1	9.5042e-11	192103	0
0.0962143	2	5	3	7.57724e-11	165880	0
0.0972143	1	1	2	1.37828e-10	299206	0
0.0972143	1	2	1	2.86858e-10	627862	0
0.0972143	2	3	2	5.09073e-10	1.10852e+06	0
0.0972143	2	4	1	9.00632e-11	181180	0
0.0972143	2	5	3	7.69e-11	168354	0
0.0982143	1	1	2	1.35376e-10	293754	0
0.0982143	1	2	1	2.80782e-10	614799	0
0.0982143	2	3	2	5.18704e-10	1.12974e+06	0
0.0982143	2	4	1	8.54187e-11	170998	0
0.0982143	2	5	3	7.80573e-11	170893	0
0.0992143	1	1	2	1.32987e-10	288433	0
0.0992143	1	2	1	2.74887e-10	602098	0
0.0992143	2	3	2	5.28295e-10	1.15085e+06	0
0.0992143	2	4	1	8.10815e-11	161509	0
0.0992143	2	5	3	7.92095e-11	173419	0
0.100214	1	1	2	1.30422e-10	282717	0
0.100214	1	2	1	2.6889e-10	589147	0
0.100214	2	3	2	5.37518e-10	1.17114e+06	0
0.100214	2	4	1	7.70979e-11	152811	0
0.100214	2	5	3	8.04049e-11	176040	0
0.101214	1	1	2	1.27919e-10	277130	0
0.101214	1	2	1	2.63036e-10	576472	0
0.101214	2	3	2	5.4677e-10	1.19149e+06	0
0.101214	2	4	1	7.35082e-11	144986	0
0.101214	2	5	3	8.15757e-11	178605	0
0.102214	1	1	2	1.25287e-10	271251	0
0.102214	1	2	1	2.57177e-10	563755	0
0.102214	2	3	2	5.5551e-10	1.21068e+06	0
0.102214	2	4	1	7.02992e-11	138016	0
0.102214	2	5	3	8.28044e-11	181297	0
0.103214	1	1	2	1.22687e-10	265434	0
0.103214	1	2	1	2.51433e-10	551254	0
0.103214	2	3	2	5.64313e-10	1.23e+06	0
0.103214	2	4	1	6.75569e-11	132071	0
0.103214	2	5	3	8.39878e-11	183888	0
0.104214	1	1	2	1.20012e-10	259443	0
0.104214	1	2	1	2.45778e-10	538909	0
0.104214	2	3	2	5.72544e-10	1.24805e+06	0
0.104214	2	4	1	6.52272e-11	127055	0
0.104214	2	5	3	8.52298e-11	186607	0
0.105214	1	1	2	1.17344e-10	253458	0
0.105214	1	2	1	2.40209e-10	526715	0
0.105214	2	3	2	5.80771e-10	1.26607e+06	0
0.105214	2	4	1	6.34241e-11	123186	0
0.105214	2	5	3	8.64343e-11	189241	0
0.106214	1	1	2	1.14651e-10	247409	0
0.106214	1	2	1	2.34799e-10	514827	0
0.106214	2	3	2	5.88488e-10	1.28296e+06	0
0.106214	2	4	1	6.20679e-11	120326	0
0.106214	2	5	3	8.7681e-11	191968	0
0.107214	1	1	2	1.11945e-10	241321	0
0.107214	1	2	1	2.29457e-10	503050	0
0.107214	2	3	2	5.9608e-10	1.29955e+06	0
0.107214	2	4	1	6.12781e-11	118695	0
0.107214	2	5	3	8.89037e-11	194639	0
0.108214	1	1	2	1.09259e-10	235269	0
0.108214	1	2	1	2.24339e-10	491720	0
0.108214	2	3	2	6.03256e-10	1.31522e+06	0
0.108214	2	4	1	6.09849e-11	118179	0
0.108214	2	5	3	9.01487e-11	197359	0
